,Function,N. Islands,Median,B-It
0,Sphere,1,7.055559624102709e-14,"(100, 1000)"
0,Sphere,2,7.732981970320907e-07,"(100, 1000)"
0,Sphere,5,2.7561333050887807e-09,"(100, 1000)"
0,Sphere,10,1988.8577251434326,"(100, 1000)"
0,Sphere,100,0.23453074612189084,"(100, 1000)"
0,Sphere,1,1.0902857045709951e-29,"(200, 1000)"
0,Sphere,2,5.196496288828456e-09,"(200, 1000)"
0,Sphere,5,2.386508692987263,"(200, 1000)"
0,Sphere,10,2.2751903305806565e-08,"(200, 1000)"
0,Sphere,100,0.00014260815116289016,"(200, 1000)"
0,Sphere,1,1.44214284685702e-45,"(500, 1000)"
0,Sphere,2,1.162517206003868e-41,"(500, 1000)"
0,Sphere,5,0.0,"(500, 1000)"
0,Sphere,10,0.0,"(500, 1000)"
0,Sphere,100,4.5494167488779886e-08,"(500, 1000)"
0,Sphere,1,1.4346598174786624e-16,"(100, 5000)"
0,Sphere,2,3.0891463810503004e-11,"(100, 5000)"
0,Sphere,5,2.5630446121027717e-07,"(100, 5000)"
0,Sphere,10,2.5162119248668406e-15,"(100, 5000)"
0,Sphere,100,1.2377551380715695e-18,"(100, 5000)"
0,Rosenbrock,1,1.552878543573647,"(100, 1000)"
0,Rosenbrock,2,3.9308393601677354,"(100, 1000)"
0,Rosenbrock,5,0.1241744373014022,"(100, 1000)"
0,Rosenbrock,10,1.1411741621003555e-05,"(100, 1000)"
0,Rosenbrock,100,0.3785521987371254,"(100, 1000)"
0,Rosenbrock,1,0.17209166332190567,"(200, 1000)"
0,Rosenbrock,2,2.005404382998677e-06,"(200, 1000)"
0,Rosenbrock,5,2.9146213663813634,"(200, 1000)"
0,Rosenbrock,10,0.09464734152271603,"(200, 1000)"
0,Rosenbrock,100,0.0747555229033594,"(200, 1000)"
0,Rosenbrock,1,2.391641008798679,"(500, 1000)"
0,Rosenbrock,2,0.19738302113747608,"(500, 1000)"
0,Rosenbrock,5,1.1090624290009794,"(500, 1000)"
0,Rosenbrock,10,1.09878545913302,"(500, 1000)"
0,Rosenbrock,100,1.414138029452069,"(500, 1000)"
0,Rosenbrock,1,0.04261780280897689,"(100, 5000)"
0,Rosenbrock,2,2.5299758093478997,"(100, 5000)"
0,Rosenbrock,5,5347.943067363934,"(100, 5000)"
0,Rosenbrock,10,0.0,"(100, 5000)"
0,Rosenbrock,100,0.0015077967968437633,"(100, 5000)"
0,Styblinski,1,7.644176690746463e-06,"(100, 1000)"
0,Styblinski,2,4.501332284689852e-06,"(100, 1000)"
0,Styblinski,5,8.01564311814218e-06,"(100, 1000)"
0,Styblinski,10,7.777224539040617e-06,"(100, 1000)"
0,Styblinski,100,15.007064909924507,"(100, 1000)"
0,Styblinski,1,2.7897858672076836e-06,"(200, 1000)"
0,Styblinski,2,7.777224539040617e-06,"(200, 1000)"
0,Styblinski,5,14.136711926449776,"(200, 1000)"
0,Styblinski,10,2.193362088192941,"(200, 1000)"
0,Styblinski,100,0.007526369084359884,"(200, 1000)"
0,Styblinski,1,2.7892269542917347e-06,"(500, 1000)"
0,Styblinski,2,9.822950346460855e-07,"(500, 1000)"
0,Styblinski,5,7.300387380837493e-06,"(500, 1000)"
0,Styblinski,10,0.0014127206697480688,"(500, 1000)"
0,Styblinski,100,0.2372759294405,"(500, 1000)"
0,Styblinski,1,1.207268553571339e-06,"(100, 5000)"
0,Styblinski,2,7.538805959939055e-06,"(100, 5000)"
0,Styblinski,5,6.10829448532968e-06,"(100, 5000)"
0,Styblinski,10,5.2738294584742115e-06,"(100, 5000)"
0,Styblinski,100,8.01564311814218e-06,"(100, 5000)"
0,f8,1,10800.989606693725,"(100, 1000)"
0,f8,2,10930.047332763672,"(100, 1000)"
0,f8,5,11027.336009979248,"(100, 1000)"
0,f8,10,10905.72348022461,"(100, 1000)"
0,f8,100,11075.61848449707,"(100, 1000)"
0,f8,1,10829.917126423596,"(200, 1000)"
0,f8,2,10784.925903320312,"(200, 1000)"
0,f8,5,10830.732055664062,"(200, 1000)"
0,f8,10,10756.80062866211,"(200, 1000)"
0,f8,100,10903.198837280272,"(200, 1000)"
0,f8,1,10867.814283485555,"(500, 1000)"
0,f8,2,10868.885925292967,"(500, 1000)"
0,f8,5,10873.154876708984,"(500, 1000)"
0,f8,10,11067.698127746582,"(500, 1000)"
0,f8,100,10826.490417480467,"(500, 1000)"
0,f8,1,10732.650694696113,"(100, 5000)"
0,f8,2,10594.730010986328,"(100, 5000)"
0,f8,5,10512.44271850586,"(100, 5000)"
0,f8,10,10711.483123779295,"(100, 5000)"
0,f8,100,10803.629699707033,"(100, 5000)"
0,f2,1,4.225159644377641e-08,"(100, 1000)"
0,f2,2,1.3012904712117468e-09,"(100, 1000)"
0,f2,5,8.022296427157018e-08,"(100, 1000)"
0,f2,10,5.3094828880717585e-12,"(100, 1000)"
0,f2,100,0.2860385836684145,"(100, 1000)"
0,f2,1,7.070956928296014e-17,"(200, 1000)"
0,f2,2,2.741887920746836e-09,"(200, 1000)"
0,f2,5,1.39093224785225e-11,"(200, 1000)"
0,f2,10,5.816990040829551e-14,"(200, 1000)"
0,f2,100,0.0028781752971553947,"(200, 1000)"
0,f2,1,1.58255979558447e-24,"(500, 1000)"
0,f2,2,1.0769916215729152e-16,"(500, 1000)"
0,f2,5,3.8571854567494204e-18,"(500, 1000)"
0,f2,10,2.8872064145897573e-20,"(500, 1000)"
0,f2,100,0.0008283479146484751,"(500, 1000)"
0,f2,1,8.56613424637942e-09,"(100, 5000)"
0,f2,2,1.1670603893010334e-10,"(100, 5000)"
0,f2,5,3.478311527693734e-10,"(100, 5000)"
0,f2,10,8.115630611982283e-09,"(100, 5000)"
0,f2,100,5.6263141701151647e-08,"(100, 5000)"
0,f13,1,1.1504403021363219,"(100, 1000)"
0,f13,2,2.651041414793774,"(100, 1000)"
0,f13,5,1.1504403021369087,"(100, 1000)"
0,f13,10,0.987342175320232,"(100, 1000)"
0,f13,100,1.024740166273452,"(100, 1000)"
0,f13,1,1.1504403021369087,"(200, 1000)"
0,f13,2,1.1504403021369087,"(200, 1000)"
0,f13,5,1.1504403021369087,"(200, 1000)"
0,f13,10,1.1504403021369087,"(200, 1000)"
0,f13,100,1.1500103651487317,"(200, 1000)"
0,f13,1,1.1504403021369087,"(500, 1000)"
0,f13,2,1.1503149222082671,"(500, 1000)"
0,f13,5,1.1504399922970776,"(500, 1000)"
0,f13,10,1.1504403021369087,"(500, 1000)"
0,f13,100,1.1434173767116609,"(500, 1000)"
0,f13,1,1.1504403021369087,"(100, 5000)"
0,f13,2,1.1504403021369087,"(100, 5000)"
0,f13,5,1.1504403021369087,"(100, 5000)"
0,f13,10,1.1504403021369087,"(100, 5000)"
0,f13,100,1.150416853115679,"(100, 5000)"
