,Function,Type,B-It,Median
0,Sphere,Parallel,"(100, 1000)",7.055559624102709e-14
1,Sphere,Iterative,"(100, 1000)",6.833249418010886e-14
0,Sphere,Parallel,"(200, 1000)",1.0902857045709951e-29
1,Sphere,Iterative,"(200, 1000)",1.712684443543052e-29
0,Sphere,Parallel,"(500, 1000)",1.44214284685702e-45
1,Sphere,Iterative,"(500, 1000)",0.0
0,Sphere,Parallel,"(100, 5000)",1.4346598174786624e-16
1,Sphere,Iterative,"(100, 5000)",1.3214651001225754e-16
0,Rosenbrock,Parallel,"(100, 1000)",1.552878543573647
1,Rosenbrock,Iterative,"(100, 1000)",1.1527274184525642
0,Rosenbrock,Parallel,"(200, 1000)",0.17209166332190567
1,Rosenbrock,Iterative,"(200, 1000)",3.9308393351913598
0,Rosenbrock,Parallel,"(500, 1000)",2.391641008798679
1,Rosenbrock,Iterative,"(500, 1000)",2.2771843900343054
0,Rosenbrock,Parallel,"(100, 5000)",0.04261780280897689
1,Rosenbrock,Iterative,"(100, 5000)",9.125701083689819e-09
0,Styblinski,Parallel,"(100, 1000)",7.644176690746463e-06
1,Styblinski,Iterative,"(100, 1000)",1.1173061442270296
0,Styblinski,Parallel,"(200, 1000)",2.7897858672076836e-06
1,Styblinski,Iterative,"(200, 1000)",8.313666342019133e-06
0,Styblinski,Parallel,"(500, 1000)",2.7892269542917347e-06
1,Styblinski,Iterative,"(500, 1000)",8.313666342019133e-06
0,Styblinski,Parallel,"(100, 5000)",1.207268553571339e-06
1,Styblinski,Iterative,"(100, 5000)",8.134852407692959e-06
0,f2,Parallel,"(100, 1000)",4.225159644377641e-08
1,f2,Iterative,"(100, 1000)",1.68226437780028e-08
0,f2,Parallel,"(200, 1000)",7.070956928296014e-17
1,f2,Iterative,"(200, 1000)",8.900526050001979e-17
0,f2,Parallel,"(500, 1000)",1.58255979558447e-24
1,f2,Iterative,"(500, 1000)",1.1369510016566792e-21
0,f2,Parallel,"(100, 5000)",8.56613424637942e-09
1,f2,Iterative,"(100, 5000)",6.511348571436316e-09
0,f13,Parallel,"(100, 1000)",1.1504403021363219
1,f13,Iterative,"(100, 1000)",1.1504403021369087
0,f13,Parallel,"(200, 1000)",1.1504403021369087
1,f13,Iterative,"(200, 1000)",1.1504403021369087
0,f13,Parallel,"(500, 1000)",1.1504403021369087
1,f13,Iterative,"(500, 1000)",1.1504403021369087
0,f13,Parallel,"(100, 5000)",1.1504403021369087
1,f13,Iterative,"(100, 5000)",1.1504403021369087
0,f8,Parallel,"(100, 1000)",10800.989606693725
1,f8,Iterative,"(100, 1000)",10811.894287109373
0,f8,Parallel,"(200, 1000)",10829.917126423596
1,f8,Iterative,"(200, 1000)",10830.001434326172
0,f8,Parallel,"(500, 1000)",10867.814283485555
1,f8,Iterative,"(500, 1000)",10853.136047363281
0,f8,Parallel,"(100, 5000)",10732.650694696113
1,f8,Iterative,"(100, 5000)",10711.46208190918
